geo_type,geography,year,category,percent
SU/District,Slate Valley SD,2020,Not Free and Reduced Lunch Eligible,0
SU/District,Slate Valley SD,2020,Attended Publicly Funded PreK,0
SU/District,Slate Valley SD,2020,Did Not Attend Publicly Funded PreK,0
SU/District,South Burlington SD,2020,,0.677
SU/District,South Burlington SD,2020,All Students Surveyed,0.832
SU/District,South Burlington SD,2020,Boys,0.793
SU/District,South Burlington SD,2020,Girls,0.873
SU/District,South Burlington SD,2020,Free and Reduced Lunch Eligible,0.677
SU/District,South Burlington SD,2020,Not Free and Reduced Lunch Eligible,0.89
SU/District,South Burlington SD,2020,Attended Publicly Funded PreK,0.87
SU/District,South Burlington SD,2020,Did Not Attend Publicly Funded PreK,0.75
SU/District,Southwest Vermont SU,2020,,0.771
SU/District,Southwest Vermont SU,2020,All Students Surveyed,0.825
SU/District,Southwest Vermont SU,2020,Boys,0.771
SU/District,Southwest Vermont SU,2020,Girls,0.893
SU/District,Southwest Vermont SU,2020,Free and Reduced Lunch Eligible,0.771
SU/District,Southwest Vermont SU,2020,Not Free and Reduced Lunch Eligible,0.893
SU/District,Southwest Vermont SU,2020,Attended Publicly Funded PreK,0.813
SU/District,Southwest Vermont SU,2020,Did Not Attend Publicly Funded PreK,0.839
SU/District,Springfield SD,2020,,0.756
SU/District,Springfield SD,2020,All Students Surveyed,0.795
SU/District,Springfield SD,2020,Boys,0.783
SU/District,Springfield SD,2020,Girls,0.813
SU/District,Springfield SD,2020,Free and Reduced Lunch Eligible,0.756
SU/District,Springfield SD,2020,Not Free and Reduced Lunch Eligible,0.849
SU/District,Springfield SD,2020,Attended Publicly Funded PreK,0.851
SU/District,Springfield SD,2020,Did Not Attend Publicly Funded PreK,0.71
SU/District,St Johnsbury SD,2020,,0.839
SU/District,St Johnsbury SD,2020,All Students Surveyed,0.889
SU/District,St Johnsbury SD,2020,Boys,0.793
SU/District,St Johnsbury SD,2020,Girls,1
SU/District,St Johnsbury SD,2020,Free and Reduced Lunch Eligible,0.839
SU/District,St Johnsbury SD,2020,Not Free and Reduced Lunch Eligible,0.957
SU/District,St Johnsbury SD,2020,Attended Publicly Funded PreK,0.875
SU/District,St Johnsbury SD,2020,Did Not Attend Publicly Funded PreK,0.909
SU/District,Two Rivers SU,2020,,0.88
SU/District,Two Rivers SU,2020,All Students Surveyed,0.917
SU/District,Two Rivers SU,2020,Boys,0.84
SU/District,Two Rivers SU,2020,Girls,1
SU/District,Two Rivers SU,2020,Free and Reduced Lunch Eligible,0.88
SU/District,Two Rivers SU,2020,Not Free and Reduced Lunch Eligible,0.957
SU/District,Two Rivers SU,2020,Attended Publicly Funded PreK,0.943
SU/District,Two Rivers SU,2020,Did Not Attend Publicly Funded PreK,0.846
SU/District,Washington Central SU,2020,,0.714
SU/District,Washington Central SU,2020,All Students Surveyed,0.792
SU/District,Washington Central SU,2020,Boys,0.791
SU/District,Washington Central SU,2020,Girls,0.794
SU/District,Washington Central SU,2020,Free and Reduced Lunch Eligible,0.714
SU/District,Washington Central SU,2020,Not Free and Reduced Lunch Eligible,0.837
SU/District,Washington Central SU,2020,Attended Publicly Funded PreK,0.828
SU/District,Washington Central SU,2020,Did Not Attend Publicly Funded PreK,0.684
SU/District,Washington Northeast SU,2020,,0.833
SU/District,Washington Northeast SU,2020,All Students Surveyed,0.849
SU/District,Washington Northeast SU,2020,Boys,0.864
SU/District,Washington Northeast SU,2020,Girls,0.818
SU/District,Washington Northeast SU,2020,Free and Reduced Lunch Eligible,0.833
SU/District,Washington Northeast SU,2020,Not Free and Reduced Lunch Eligible,0.857
SU/District,Washington Northeast SU,2020,Attended Publicly Funded PreK,0.833
SU/District,Washington Northeast SU,2020,Did Not Attend Publicly Funded PreK,0.867
SU/District,White River Valley SU,2020,,0.909
SU/District,White River Valley SU,2020,All Students Surveyed,0.833
SU/District,White River Valley SU,2020,Boys,0.733
SU/District,White River Valley SU,2020,Girls,0.889
SU/District,White River Valley SU,2020,Free and Reduced Lunch Eligible,0.909
SU/District,White River Valley SU,2020,Not Free and Reduced Lunch Eligible,0.75
SU/District,White River Valley SU,2020,Attended Publicly Funded PreK,0.917
SU/District,White River Valley SU,2020,Did Not Attend Publicly Funded PreK,0.722
SU/District,Windham Central SU,2020,,0.75
SU/District,Windham Central SU,2020,All Students Surveyed,0.822
SU/District,Windham Central SU,2020,Boys,0.769
SU/District,Windham Central SU,2020,Girls,0.895
SU/District,Windham Central SU,2020,Free and Reduced Lunch Eligible,0.75
SU/District,Windham Central SU,2020,Not Free and Reduced Lunch Eligible,0.849
SU/District,Windham Central SU,2020,Attended Publicly Funded PreK,0.792
SU/District,Windham Central SU,2020,Did Not Attend Publicly Funded PreK,0.857
SU/District,Windham Northeast SU,2020,,0.722
SU/District,Windham Northeast SU,2020,All Students Surveyed,0.795
SU/District,Windham Northeast SU,2020,Boys,0.692
SU/District,Windham Northeast SU,2020,Girls,0.897
SU/District,Windham Northeast SU,2020,Free and Reduced Lunch Eligible,0.722
SU/District,Windham Northeast SU,2020,Not Free and Reduced Lunch Eligible,0.958
SU/District,Windham Northeast SU,2020,Attended Publicly Funded PreK,0.761
SU/District,Windham Northeast SU,2020,Did Not Attend Publicly Funded PreK,0.844
SU/District,Windham Southeast SU,2020,,0.737
SU/District,Windham Southeast SU,2020,All Students Surveyed,0.841
SU/District,Windham Southeast SU,2020,Boys,0.787
SU/District,Windham Southeast SU,2020,Girls,0.9
SU/District,Windham Southeast SU,2020,Free and Reduced Lunch Eligible,0.737
SU/District,Windham Southeast SU,2020,Not Free and Reduced Lunch Eligible,0.917
SU/District,Windham Southeast SU,2020,Attended Publicly Funded PreK,0.823
SU/District,Windham Southeast SU,2020,Did Not Attend Publicly Funded PreK,0.864
SU/District,Windham Southwest SU,2020,,1
SU/District,Windham Southwest SU,2020,All Students Surveyed,0.913
SU/District,Windham Southwest SU,2020,Boys,0.8
SU/District,Windham Southwest SU,2020,Girls,0.944
SU/District,Windham Southwest SU,2020,Free and Reduced Lunch Eligible,1
SU/District,Windham Southwest SU,2020,Not Free and Reduced Lunch Eligible,0.846
SU/District,Windham Southwest SU,2020,Attended Publicly Funded PreK,1
SU/District,Windham Southwest SU,2020,Did Not Attend Publicly Funded PreK,0.889
SU/District,Windsor Central,2020,,0.875
SU/District,Windsor Central,2020,All Students Surveyed,0.902
SU/District,Windsor Central,2020,Boys,0.857
SU/District,Windsor Central,2020,Girls,0.95
SU/District,Windsor Central,2020,Free and Reduced Lunch Eligible,0.875
SU/District,Windsor Central,2020,Not Free and Reduced Lunch Eligible,0.909
SU/District,Windsor Central,2020,Attended Publicly Funded PreK,0.917
SU/District,Windsor Central,2020,Did Not Attend Publicly Funded PreK,0.882
SU/District,Windsor Southeast SU,2020,,0.733
SU/District,Windsor Southeast SU,2020,All Students Surveyed,0.85
SU/District,Windsor Southeast SU,2020,Boys,0.8
SU/District,Windsor Southeast SU,2020,Girls,0.939
SU/District,Windsor Southeast SU,2020,Free and Reduced Lunch Eligible,0.733
SU/District,Windsor Southeast SU,2020,Not Free and Reduced Lunch Eligible,0.905
SU/District,Windsor Southeast SU,2020,Attended Publicly Funded PreK,0.848
SU/District,Windsor Southeast SU,2020,Did Not Attend Publicly Funded PreK,0.853
SU/District,Winooski SD,2020,,0.739
SU/District,Winooski SD,2020,All Students Surveyed,0.758
SU/District,Winooski SD,2020,Boys,0.73
SU/District,Winooski SD,2020,Girls,0.8
SU/District,Winooski SD,2020,Free and Reduced Lunch Eligible,0.739
SU/District,Winooski SD,2020,Not Free and Reduced Lunch Eligible,0.769
SU/District,Winooski SD,2020,Attended Publicly Funded PreK,0.771
SU/District,Winooski SD,2020,Did Not Attend Publicly Funded PreK,0.741
State,Vermont,2021,,0.772
State,Vermont,2021,1-Not yet ready,0.05
State,Vermont,2021,2-Approaching ready,0.09
State,Vermont,2021,3-Ready and practicing,0.2
State,Vermont,2021,4-Ready and performing independently,0.66
State,Vermont,2021,Total of all students statewide identified as ready,0.86
State,Vermont,2021,All Students Surveyed,0.86
State,Vermont,2021,Boys,0.82
State,Vermont,2021,Girls,0.906
State,Vermont,2021,Free and Reduced Lunch Eligible,0.772
State,Vermont,2021,Not Free and Reduced Lunch Eligible,0.89
State,Vermont,2021,Attended Publicly Funded PreK,0.87
State,Vermont,2021,Did Not Attend Publicly Funded PreK,0.82
SU/District,Addison Central SD,2021,,0.917
SU/District,Addison Central SD,2021,All Students Surveyed,0.948
SU/District,Addison Central SD,2021,Boys,0.954
SU/District,Addison Central SD,2021,Girls,0.94
SU/District,Addison Central SD,2021,Free and Reduced Lunch Eligible,0.917
SU/District,Addison Central SD,2021,Not Free and Reduced Lunch Eligible,0.956
SU/District,Addison Central SD,2021,Attended Publicly Funded PreK,0.933
SU/District,Addison Central SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Addison Northwest SD,2021,,0.6
SU/District,Addison Northwest SD,2021,All Students Surveyed,0.768
SU/District,Addison Northwest SD,2021,Boys,0.542
SU/District,Addison Northwest SD,2021,Girls,0.938
SU/District,Addison Northwest SD,2021,Free and Reduced Lunch Eligible,0.6
SU/District,Addison Northwest SD,2021,Not Free and Reduced Lunch Eligible,0.804
SU/District,Addison Northwest SD,2021,Attended Publicly Funded PreK,0.714
SU/District,Addison Northwest SD,2021,Did Not Attend Publicly Funded PreK,0.929
SU/District,Barre SU,2021,,0.735
SU/District,Barre SU,2021,All Students Surveyed,0.825
SU/District,Barre SU,2021,Boys,0.75
SU/District,Barre SU,2021,Girls,0.914
SU/District,Barre SU,2021,Free and Reduced Lunch Eligible,0.735
SU/District,Barre SU,2021,Not Free and Reduced Lunch Eligible,0.859
SU/District,Barre SU,2021,Attended Publicly Funded PreK,0.846
SU/District,Barre SU,2021,Did Not Attend Publicly Funded PreK,0.686
SU/District,Battenkill Valley SU,2021,,0.667
SU/District,Battenkill Valley SU,2021,All Students Surveyed,0.846
SU/District,Battenkill Valley SU,2021,Boys,0.75
SU/District,Battenkill Valley SU,2021,Girls,0.929
SU/District,Battenkill Valley SU,2021,Free and Reduced Lunch Eligible,0.667
SU/District,Battenkill Valley SU,2021,Not Free and Reduced Lunch Eligible,0.941
SU/District,Battenkill Valley SU,2021,Attended Publicly Funded PreK,0.833
SU/District,Battenkill Valley SU,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Bennington Rutland SU,2021,,0.76
SU/District,Bennington Rutland SU,2021,All Students Surveyed,0.872
SU/District,Bennington Rutland SU,2021,Boys,0.842
SU/District,Bennington Rutland SU,2021,Girls,0.9
SU/District,Bennington Rutland SU,2021,Free and Reduced Lunch Eligible,0.76
SU/District,Bennington Rutland SU,2021,Not Free and Reduced Lunch Eligible,0.925
SU/District,Bennington Rutland SU,2021,Attended Publicly Funded PreK,0.849
SU/District,Bennington Rutland SU,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Burlington SD,2021,,0.676
SU/District,Burlington SD,2021,All Students Surveyed,0.753
SU/District,Burlington SD,2021,Boys,0.686
SU/District,Burlington SD,2021,Girls,0.83
SU/District,Burlington SD,2021,Free and Reduced Lunch Eligible,0.676
SU/District,Burlington SD,2021,Not Free and Reduced Lunch Eligible,0.798
SU/District,Burlington SD,2021,Attended Publicly Funded PreK,0.794
SU/District,Burlington SD,2021,Did Not Attend Publicly Funded PreK,0.661
SU/District,Caledonia Central SU,2021,,0.91
SU/District,Caledonia Central SU,2021,All Students Surveyed,0.908
SU/District,Caledonia Central SU,2021,Boys,0.87
SU/District,Caledonia Central SU,2021,Girls,0.951
SU/District,Caledonia Central SU,2021,Free and Reduced Lunch Eligible,0.91
SU/District,Caledonia Central SU,2021,Not Free and Reduced Lunch Eligible,0.909
SU/District,Caledonia Central SU,2021,Attended Publicly Funded PreK,0.909
SU/District,Caledonia Central SU,2021,Did Not Attend Publicly Funded PreK,0.9
SU/District,Central Vermont SU,2021,,0.579
SU/District,Central Vermont SU,2021,All Students Surveyed,0.723
SU/District,Central Vermont SU,2021,Boys,0.586
SU/District,Central Vermont SU,2021,Girls,0.833
SU/District,Central Vermont SU,2021,Free and Reduced Lunch Eligible,0.579
SU/District,Central Vermont SU,2021,Not Free and Reduced Lunch Eligible,0.783
SU/District,Central Vermont SU,2021,Attended Publicly Funded PreK,0.741
SU/District,Central Vermont SU,2021,Did Not Attend Publicly Funded PreK,0.636
SU/District,Champlain Valley SD,2021,,0.813
SU/District,Champlain Valley SD,2021,All Students Surveyed,0.92
SU/District,Champlain Valley SD,2021,Boys,0.954
SU/District,Champlain Valley SD,2021,Girls,0.874
SU/District,Champlain Valley SD,2021,Free and Reduced Lunch Eligible,0.813
SU/District,Champlain Valley SD,2021,Not Free and Reduced Lunch Eligible,0.928
SU/District,Champlain Valley SD,2021,Attended Publicly Funded PreK,0.93
SU/District,Champlain Valley SD,2021,Did Not Attend Publicly Funded PreK,0.872
SU/District,Colchester SD,2021,,0.444
SU/District,Colchester SD,2021,All Students Surveyed,0.845
SU/District,Colchester SD,2021,Boys,0.744
SU/District,Colchester SD,2021,Girls,0.951
SU/District,Colchester SD,2021,Free and Reduced Lunch Eligible,0.444
SU/District,Colchester SD,2021,Not Free and Reduced Lunch Eligible,0.893
SU/District,Colchester SD,2021,Attended Publicly Funded PreK,0.915
SU/District,Colchester SD,2021,Did Not Attend Publicly Funded PreK,0.68
SU/District,Essex North SU,2021,,1
SU/District,Essex North SU,2021,All Students Surveyed,0.667
SU/District,Essex North SU,2021,Boys,0.333
SU/District,Essex North SU,2021,Girls,1
SU/District,Essex North SU,2021,Free and Reduced Lunch Eligible,1
SU/District,Essex North SU,2021,Not Free and Reduced Lunch Eligible,0.6
SU/District,Essex North SU,2021,Attended Publicly Funded PreK,0.8
SU/District,Essex North SU,2021,Did Not Attend Publicly Funded PreK,0
SU/District,Essex Westford SD,2021,,0.9
SU/District,Essex Westford SD,2021,All Students Surveyed,0.911
SU/District,Essex Westford SD,2021,Boys,0.837
SU/District,Essex Westford SD,2021,Girls,0.973
SU/District,Essex Westford SD,2021,Free and Reduced Lunch Eligible,0.9
SU/District,Essex Westford SD,2021,Not Free and Reduced Lunch Eligible,0.912
SU/District,Essex Westford SD,2021,Attended Publicly Funded PreK,0.909
SU/District,Essex Westford SD,2021,Did Not Attend Publicly Funded PreK,0.921
SU/District,Franklin Northeast SU,2021,,0.836
SU/District,Franklin Northeast SU,2021,All Students Surveyed,0.861
SU/District,Franklin Northeast SU,2021,Boys,0.836
SU/District,Franklin Northeast SU,2021,Girls,0.885
SU/District,Franklin Northeast SU,2021,Free and Reduced Lunch Eligible,0.836
SU/District,Franklin Northeast SU,2021,Not Free and Reduced Lunch Eligible,0.881
SU/District,Franklin Northeast SU,2021,Attended Publicly Funded PreK,0.853
SU/District,Franklin Northeast SU,2021,Did Not Attend Publicly Funded PreK,0.923
SU/District,Franklin West SU,2021,,0.692
SU/District,Franklin West SU,2021,All Students Surveyed,0.883
SU/District,Franklin West SU,2021,Boys,0.835
SU/District,Franklin West SU,2021,Girls,0.959
SU/District,Franklin West SU,2021,Free and Reduced Lunch Eligible,0.692
SU/District,Franklin West SU,2021,Not Free and Reduced Lunch Eligible,0.904
SU/District,Franklin West SU,2021,Attended Publicly Funded PreK,0.874
SU/District,Franklin West SU,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Grand Isle SU,2021,,0.917
SU/District,Grand Isle SU,2021,All Students Surveyed,0.906
SU/District,Grand Isle SU,2021,Boys,0.88
SU/District,Grand Isle SU,2021,Girls,0.929
SU/District,Grand Isle SU,2021,Free and Reduced Lunch Eligible,0.917
SU/District,Grand Isle SU,2021,Not Free and Reduced Lunch Eligible,0.902
SU/District,Grand Isle SU,2021,Attended Publicly Funded PreK,0.956
SU/District,Grand Isle SU,2021,Did Not Attend Publicly Funded PreK,0.625
SU/District,Greater Rutland County SU,2021,,0.731
SU/District,Greater Rutland County SU,2021,All Students Surveyed,0.858
SU/District,Greater Rutland County SU,2021,Boys,0.825
SU/District,Greater Rutland County SU,2021,Girls,0.893
SU/District,Greater Rutland County SU,2021,Free and Reduced Lunch Eligible,0.731
SU/District,Greater Rutland County SU,2021,Not Free and Reduced Lunch Eligible,0.897
SU/District,Greater Rutland County SU,2021,Attended Publicly Funded PreK,0.887
SU/District,Greater Rutland County SU,2021,Did Not Attend Publicly Funded PreK,0.688
SU/District,Hartford SD,2021,,0.643
SU/District,Hartford SD,2021,All Students Surveyed,0.716
SU/District,Hartford SD,2021,Boys,0.611
SU/District,Hartford SD,2021,Girls,0.816
SU/District,Hartford SD,2021,Free and Reduced Lunch Eligible,0.643
SU/District,Hartford SD,2021,Not Free and Reduced Lunch Eligible,0.733
SU/District,Hartford SD,2021,Attended Publicly Funded PreK,0.66
SU/District,Hartford SD,2021,Did Not Attend Publicly Funded PreK,0.857
SU/District,Harwood Unified SD,2021,,0.8
SU/District,Harwood Unified SD,2021,All Students Surveyed,0.926
SU/District,Harwood Unified SD,2021,Boys,0.9
SU/District,Harwood Unified SD,2021,Girls,0.949
SU/District,Harwood Unified SD,2021,Free and Reduced Lunch Eligible,0.8
SU/District,Harwood Unified SD,2021,Not Free and Reduced Lunch Eligible,0.947
SU/District,Harwood Unified SD,2021,Attended Publicly Funded PreK,0.922
SU/District,Harwood Unified SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Kingdom East SD,2021,,0.69
SU/District,Kingdom East SD,2021,All Students Surveyed,0.74
SU/District,Kingdom East SD,2021,Boys,0.64
SU/District,Kingdom East SD,2021,Girls,0.848
SU/District,Kingdom East SD,2021,Free and Reduced Lunch Eligible,0.69
SU/District,Kingdom East SD,2021,Not Free and Reduced Lunch Eligible,0.761
SU/District,Kingdom East SD,2021,Attended Publicly Funded PreK,0.732
SU/District,Kingdom East SD,2021,Did Not Attend Publicly Funded PreK,0.786
SU/District,Lamoille North SU,2021,,0.895
SU/District,Lamoille North SU,2021,All Students Surveyed,0.884
SU/District,Lamoille North SU,2021,Boys,0.844
SU/District,Lamoille North SU,2021,Girls,0.92
SU/District,Lamoille North SU,2021,Free and Reduced Lunch Eligible,0.895
SU/District,Lamoille North SU,2021,Not Free and Reduced Lunch Eligible,0.882
SU/District,Lamoille North SU,2021,Attended Publicly Funded PreK,0.888
SU/District,Lamoille North SU,2021,Did Not Attend Publicly Funded PreK,0.867
SU/District,Lamoille South SU,2021,,0.929
SU/District,Lamoille South SU,2021,All Students Surveyed,0.893
SU/District,Lamoille South SU,2021,Boys,0.848
SU/District,Lamoille South SU,2021,Girls,0.97
SU/District,Lamoille South SU,2021,Free and Reduced Lunch Eligible,0.929
SU/District,Lamoille South SU,2021,Not Free and Reduced Lunch Eligible,0.885
SU/District,Lamoille South SU,2021,Attended Publicly Funded PreK,0.905
SU/District,Lamoille South SU,2021,Did Not Attend Publicly Funded PreK,0.833
SU/District,Maple Run SD,2021,,0.839
SU/District,Maple Run SD,2021,All Students Surveyed,0.903
SU/District,Maple Run SD,2021,Boys,0.86
SU/District,Maple Run SD,2021,Girls,0.943
SU/District,Maple Run SD,2021,Free and Reduced Lunch Eligible,0.839
SU/District,Maple Run SD,2021,Not Free and Reduced Lunch Eligible,0.922
SU/District,Maple Run SD,2021,Attended Publicly Funded PreK,0.924
SU/District,Maple Run SD,2021,Did Not Attend Publicly Funded PreK,0.733
SU/District,Mill River Unified SD,2021,,0.714
SU/District,Mill River Unified SD,2021,All Students Surveyed,0.696
SU/District,Mill River Unified SD,2021,Boys,0.556
SU/District,Mill River Unified SD,2021,Girls,0.786
SU/District,Mill River Unified SD,2021,Free and Reduced Lunch Eligible,0.714
SU/District,Mill River Unified SD,2021,Not Free and Reduced Lunch Eligible,0.692
SU/District,Mill River Unified SD,2021,Attended Publicly Funded PreK,0.658
SU/District,Mill River Unified SD,2021,Did Not Attend Publicly Funded PreK,0.88
SU/District,Milton SD,2021,,0.786
SU/District,Milton SD,2021,All Students Surveyed,0.9
SU/District,Milton SD,2021,Boys,0.889
SU/District,Milton SD,2021,Girls,0.912
SU/District,Milton SD,2021,Free and Reduced Lunch Eligible,0.786
SU/District,Milton SD,2021,Not Free and Reduced Lunch Eligible,0.929
SU/District,Milton SD,2021,Attended Publicly Funded PreK,0.892
SU/District,Milton SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Missisquoi Valley SD,2021,,0.758
SU/District,Missisquoi Valley SD,2021,All Students Surveyed,0.887
SU/District,Missisquoi Valley SD,2021,Boys,0.809
SU/District,Missisquoi Valley SD,2021,Girls,0.935
SU/District,Missisquoi Valley SD,2021,Free and Reduced Lunch Eligible,0.758
SU/District,Missisquoi Valley SD,2021,Not Free and Reduced Lunch Eligible,0.934
SU/District,Missisquoi Valley SD,2021,Attended Publicly Funded PreK,0.887
SU/District,Missisquoi Valley SD,2021,Did Not Attend Publicly Funded PreK,0.889
SU/District,Montpelier Roxbury SD,2021,,0.75
SU/District,Montpelier Roxbury SD,2021,All Students Surveyed,0.968
SU/District,Montpelier Roxbury SD,2021,Boys,0.933
SU/District,Montpelier Roxbury SD,2021,Girls,1
SU/District,Montpelier Roxbury SD,2021,Free and Reduced Lunch Eligible,0.75
SU/District,Montpelier Roxbury SD,2021,Not Free and Reduced Lunch Eligible,1
SU/District,Montpelier Roxbury SD,2021,Attended Publicly Funded PreK,0.964
SU/District,Montpelier Roxbury SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Mt Abraham Unified SD,2021,,0.5
SU/District,Mt Abraham Unified SD,2021,All Students Surveyed,0.75
SU/District,Mt Abraham Unified SD,2021,Boys,0.667
SU/District,Mt Abraham Unified SD,2021,Girls,0.824
SU/District,Mt Abraham Unified SD,2021,Free and Reduced Lunch Eligible,0.5
SU/District,Mt Abraham Unified SD,2021,Not Free and Reduced Lunch Eligible,0.767
SU/District,Mt Abraham Unified SD,2021,Attended Publicly Funded PreK,0.786
SU/District,Mt Abraham Unified SD,2021,Did Not Attend Publicly Funded PreK,0.5
SU/District,Mt Mainsfield Unified SD,2021,,0.944
SU/District,Mt Mainsfield Unified SD,2021,All Students Surveyed,0.942
SU/District,Mt Mainsfield Unified SD,2021,Boys,0.92
SU/District,Mt Mainsfield Unified SD,2021,Girls,0.97
SU/District,Mt Mainsfield Unified SD,2021,Free and Reduced Lunch Eligible,0.944
SU/District,Mt Mainsfield Unified SD,2021,Not Free and Reduced Lunch Eligible,0.941
SU/District,Mt Mainsfield Unified SD,2021,Attended Publicly Funded PreK,0.936
SU/District,Mt Mainsfield Unified SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,North Country SU,2021,,0.727
SU/District,North Country SU,2021,All Students Surveyed,0.793
SU/District,North Country SU,2021,Boys,0.782
SU/District,North Country SU,2021,Girls,0.809
SU/District,North Country SU,2021,Free and Reduced Lunch Eligible,0.727
SU/District,North Country SU,2021,Not Free and Reduced Lunch Eligible,0.848
SU/District,North Country SU,2021,Attended Publicly Funded PreK,0.785
SU/District,North Country SU,2021,Did Not Attend Publicly Funded PreK,0.84
SU/District,Orange East SU,2021,,0.783
SU/District,Orange East SU,2021,All Students Surveyed,0.838
SU/District,Orange East SU,2021,Boys,0.773
SU/District,Orange East SU,2021,Girls,0.958
SU/District,Orange East SU,2021,Free and Reduced Lunch Eligible,0.783
SU/District,Orange East SU,2021,Not Free and Reduced Lunch Eligible,0.867
SU/District,Orange East SU,2021,Attended Publicly Funded PreK,0.88
SU/District,Orange East SU,2021,Did Not Attend Publicly Funded PreK,0.722
SU/District,Orange Southwest SD,2021,,0.778
SU/District,Orange Southwest SD,2021,All Students Surveyed,0.87
SU/District,Orange Southwest SD,2021,Boys,0.85
SU/District,Orange Southwest SD,2021,Girls,0.882
SU/District,Orange Southwest SD,2021,Free and Reduced Lunch Eligible,0.778
SU/District,Orange Southwest SD,2021,Not Free and Reduced Lunch Eligible,0.889
SU/District,Orange Southwest SD,2021,Attended Publicly Funded PreK,0.868
SU/District,Orange Southwest SD,2021,Did Not Attend Publicly Funded PreK,0.875
SU/District,Orleans Central SU,2021,,0.833
SU/District,Orleans Central SU,2021,All Students Surveyed,0.857
SU/District,Orleans Central SU,2021,Boys,0.769
SU/District,Orleans Central SU,2021,Girls,0.933
SU/District,Orleans Central SU,2021,Free and Reduced Lunch Eligible,0.833
SU/District,Orleans Central SU,2021,Not Free and Reduced Lunch Eligible,0.885
SU/District,Orleans Central SU,2021,Attended Publicly Funded PreK,0.844
SU/District,Orleans Central SU,2021,Did Not Attend Publicly Funded PreK,0.909
SU/District,Orleans Southwest SU,2021,,0.87
SU/District,Orleans Southwest SU,2021,All Students Surveyed,0.917
SU/District,Orleans Southwest SU,2021,Boys,0.96
SU/District,Orleans Southwest SU,2021,Girls,0.87
SU/District,Orleans Southwest SU,2021,Free and Reduced Lunch Eligible,0.87
SU/District,Orleans Southwest SU,2021,Not Free and Reduced Lunch Eligible,0.94
SU/District,Orleans Southwest SU,2021,Attended Publicly Funded PreK,0.889
SU/District,Orleans Southwest SU,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Rivendell Interstate SD,2021,,0
SU/District,Rivendell Interstate SD,2021,All Students Surveyed,0
SU/District,Rivendell Interstate SD,2021,Boys,0
SU/District,Rivendell Interstate SD,2021,Girls,0
SU/District,Rivendell Interstate SD,2021,Free and Reduced Lunch Eligible,0
SU/District,Rivendell Interstate SD,2021,Not Free and Reduced Lunch Eligible,0
SU/District,Rivendell Interstate SD,2021,Attended Publicly Funded PreK,0
SU/District,Rivendell Interstate SD,2021,Did Not Attend Publicly Funded PreK,0
SU/District,Rutland City SD,2021,,0.607
SU/District,Rutland City SD,2021,All Students Surveyed,0.762
SU/District,Rutland City SD,2021,Boys,0.672
SU/District,Rutland City SD,2021,Girls,0.862
SU/District,Rutland City SD,2021,Free and Reduced Lunch Eligible,0.607
SU/District,Rutland City SD,2021,Not Free and Reduced Lunch Eligible,0.809
SU/District,Rutland City SD,2021,Attended Publicly Funded PreK,0.694
SU/District,Rutland City SD,2021,Did Not Attend Publicly Funded PreK,0.86
SU/District,Rutland Northeast SD,2021,,0.807
SU/District,Rutland Northeast SD,2021,All Students Surveyed,0.849
SU/District,Rutland Northeast SD,2021,Boys,0.804
SU/District,Rutland Northeast SD,2021,Girls,0.896
SU/District,Rutland Northeast SD,2021,Free and Reduced Lunch Eligible,0.807
SU/District,Rutland Northeast SD,2021,Not Free and Reduced Lunch Eligible,0.863
SU/District,Rutland Northeast SD,2021,Attended Publicly Funded PreK,0.87
SU/District,Rutland Northeast SD,2021,Did Not Attend Publicly Funded PreK,0.773
SU/District,Slate Valley SD,2021,,0.889
SU/District,Slate Valley SD,2021,All Students Surveyed,0.902
SU/District,Slate Valley SD,2021,Boys,0.861
SU/District,Slate Valley SD,2021,Girls,0.96
SU/District,Slate Valley SD,2021,Free and Reduced Lunch Eligible,0.889
SU/District,Slate Valley SD,2021,Not Free and Reduced Lunch Eligible,0.904
SU/District,Slate Valley SD,2021,Attended Publicly Funded PreK,0.957
SU/District,Slate Valley SD,2021,Did Not Attend Publicly Funded PreK,0.714
SU/District,South Burlington SD,2021,,0.727
SU/District,South Burlington SD,2021,All Students Surveyed,0.948
SU/District,South Burlington SD,2021,Boys,0.94
SU/District,South Burlington SD,2021,Girls,0.971
SU/District,South Burlington SD,2021,Free and Reduced Lunch Eligible,0.727
SU/District,South Burlington SD,2021,Not Free and Reduced Lunch Eligible,0.977
SU/District,South Burlington SD,2021,Attended Publicly Funded PreK,0.935
SU/District,South Burlington SD,2021,Did Not Attend Publicly Funded PreK,1
SU/District,Southwest Vermont SU,2021,,0.671
SU/District,Southwest Vermont SU,2021,All Students Surveyed,0.767
SU/District,Southwest Vermont SU,2021,Boys,0.732
SU/District,Southwest Vermont SU,2021,Girls,0.803
SU/District,Southwest Vermont SU,2021,Free and Reduced Lunch Eligible,0.671
